Time	Node	Type	Packets	
71	4	CacheHits	0
71	4	CacheMisses	40
72	0	CacheHits	0
72	0	CacheMisses	147
72	1	CacheHits	96
72	1	CacheMisses	28
72	2	CacheHits	0
72	2	CacheMisses	27
72	3	CacheHits	0
72	3	CacheMisses	124
72	4	CacheHits	0
72	4	CacheMisses	27
73	0	CacheHits	0
73	0	CacheMisses	146
73	1	CacheHits	98
73	1	CacheMisses	29
73	2	CacheHits	0
73	2	CacheMisses	30
73	3	CacheHits	0
73	3	CacheMisses	128
73	4	CacheHits	0
73	4	CacheMisses	30
74	0	CacheHits	0
74	0	CacheMisses	147
74	1	CacheHits	101
74	1	CacheMisses	18
74	2	CacheHits	0
74	2	CacheMisses	18
74	3	CacheHits	0
74	3	CacheMisses	118
74	4	CacheHits	0
74	4	CacheMisses	18
75	0	CacheHits	0
75	0	CacheMisses	146
75	1	CacheHits	112
75	1	CacheMisses	25
75	2	CacheHits	0
75	2	CacheMisses	25
75	3	CacheHits	0
75	3	CacheMisses	137
75	4	CacheHits	0
75	4	CacheMisses	25
76	0	CacheHits	0
76	0	CacheMisses	147
76	1	CacheHits	50
76	1	CacheMisses	46
76	2	CacheHits	0
76	2	CacheMisses	46
76	3	CacheHits	0
76	3	CacheMisses	96
76	4	CacheHits	0
76	4	CacheMisses	46
77	0	CacheHits	0
77	0	CacheMisses	146
77	1	CacheHits	102
77	1	CacheMisses	38
77	2	CacheHits	0
77	2	CacheMisses	38
77	3	CacheHits	0
77	3	CacheMisses	142
77	4	CacheHits	0
77	4	CacheMisses	38
78	0	CacheHits	0
78	0	CacheMisses	147
78	1	CacheHits	81
78	1	CacheMisses	43
78	2	CacheHits	0
78	2	CacheMisses	43
78	3	CacheHits	0
78	3	CacheMisses	122
78	4	CacheHits	0
78	4	CacheMisses	43
79	0	CacheHits	0
79	0	CacheMisses	146
79	1	CacheHits	87
79	1	CacheMisses	44
79	2	CacheHits	0
79	2	CacheMisses	44
79	3	CacheHits	0
79	3	CacheMisses	131
79	4	CacheHits	0
79	4	CacheMisses	44
80	0	CacheHits	0
80	0	CacheMisses	147
80	1	CacheHits	105
80	1	CacheMisses	5
80	2	CacheHits	0
80	2	CacheMisses	5
80	3	CacheHits	0
80	3	CacheMisses	111
80	4	CacheHits	0
80	4	CacheMisses	5
81	0	CacheHits	0
81	0	CacheMisses	146
81	1	CacheHits	65
81	1	CacheMisses	50
81	2	CacheHits	0
81	2	CacheMisses	50
81	3	CacheHits	0
81	3	CacheMisses	117
81	4	CacheHits	0
81	4	CacheMisses	50
82	0	CacheHits	0
82	0	CacheMisses	147
82	1	CacheHits	120
82	1	CacheMisses	24
82	2	CacheHits	0
82	2	CacheMisses	24
82	3	CacheHits	0
82	3	CacheMisses	142
82	4	CacheHits	0
82	4	CacheMisses	24
83	0	CacheHits	0
83	0	CacheMisses	146
83	1	CacheHits	109
83	1	CacheMisses	29
83	2	CacheHits	0
83	2	CacheMisses	29
83	3	CacheHits	0
83	3	CacheMisses	140
83	4	CacheHits	0
83	4	CacheMisses	29
84	0	CacheHits	0
84	0	CacheMisses	147
84	1	CacheHits	113
84	1	CacheMisses	35
84	2	CacheHits	0
84	2	CacheMisses	35
84	3	CacheHits	0
84	3	CacheMisses	145
84	4	CacheHits	0
84	4	CacheMisses	35
85	0	CacheHits	0
85	0	CacheMisses	146
85	1	CacheHits	87
85	1	CacheMisses	36
85	2	CacheHits	0
85	2	CacheMisses	36
85	3	CacheHits	0
85	3	CacheMisses	123
85	4	CacheHits	0
85	4	CacheMisses	36
86	0	CacheHits	0
86	0	CacheMisses	147
86	1	CacheHits	68
86	1	CacheMisses	43
86	2	CacheHits	0
86	2	CacheMisses	43
86	3	CacheHits	0
86	3	CacheMisses	111
86	4	CacheHits	0
86	4	CacheMisses	43
87	0	CacheHits	0
87	0	CacheMisses	146
87	1	CacheHits	99
87	1	CacheMisses	28
87	2	CacheHits	0
87	2	CacheMisses	28
87	3	CacheHits	0
87	3	CacheMisses	128
87	4	CacheHits	0
87	4	CacheMisses	28
88	0	CacheHits	0
88	0	CacheMisses	147
88	1	CacheHits	54
88	1	CacheMisses	48
88	2	CacheHits	0
88	2	CacheMisses	48
88	3	CacheHits	0
88	3	CacheMisses	101
88	4	CacheHits	0
88	4	CacheMisses	48
89	0	CacheHits	0
89	0	CacheMisses	146
89	1	CacheHits	78
89	1	CacheMisses	41
89	2	CacheHits	0
89	2	CacheMisses	41
89	3	CacheHits	0
89	3	CacheMisses	119
89	4	CacheHits	0
89	4	CacheMisses	41
90	0	CacheHits	0
90	0	CacheMisses	147
90	1	CacheHits	108
90	1	CacheMisses	36
90	2	CacheHits	0
90	2	CacheMisses	36
90	3	CacheHits	0
90	3	CacheMisses	144
90	4	CacheHits	0
90	4	CacheMisses	36
91	0	CacheHits	0
91	0	CacheMisses	146
91	1	CacheHits	97
91	1	CacheMisses	29
91	2	CacheHits	0
91	2	CacheMisses	29
91	3	CacheHits	0
91	3	CacheMisses	126
91	4	CacheHits	0
91	4	CacheMisses	29
92	0	CacheHits	0
92	0	CacheMisses	147
92	1	CacheHits	61
92	1	CacheMisses	82
92	2	CacheHits	0
92	2	CacheMisses	82
92	3	CacheHits	0
92	3	CacheMisses	143
92	4	CacheHits	0
92	4	CacheMisses	82
93	0	CacheHits	0
93	0	CacheMisses	146
93	1	CacheHits	0
93	1	CacheMisses	129
93	2	CacheHits	0
93	2	CacheMisses	128
93	3	CacheHits	0
93	3	CacheMisses	129
93	4	CacheHits	0
93	4	CacheMisses	128
94	0	CacheHits	0
94	0	CacheMisses	147
94	1	CacheHits	0
94	1	CacheMisses	107
94	2	CacheHits	0
94	2	CacheMisses	108
94	3	CacheHits	0
94	3	CacheMisses	107
94	4	CacheHits	0
94	4	CacheMisses	108
95	0	CacheHits	0
95	0	CacheMisses	146
95	1	CacheHits	0
95	1	CacheMisses	81
95	2	CacheHits	0
95	2	CacheMisses	81
95	3	CacheHits	0
95	3	CacheMisses	81
95	4	CacheHits	0
95	4	CacheMisses	81
96	0	CacheHits	0
96	0	CacheMisses	147
96	1	CacheHits	0
96	1	CacheMisses	115
96	2	CacheHits	0
96	2	CacheMisses	115
96	3	CacheHits	0
96	3	CacheMisses	115
96	4	CacheHits	0
96	4	CacheMisses	115
97	0	CacheHits	0
97	0	CacheMisses	146
97	1	CacheHits	0
97	1	CacheMisses	122
97	2	CacheHits	0
97	2	CacheMisses	121
97	3	CacheHits	0
97	3	CacheMisses	122
97	4	CacheHits	0
97	4	CacheMisses	121
98	0	CacheHits	0
98	0	CacheMisses	146
98	1	CacheHits	0
98	1	CacheMisses	110
98	2	CacheHits	0
98	2	CacheMisses	109
98	3	CacheHits	0
98	3	CacheMisses	110
98	4	CacheHits	0
98	4	CacheMisses	109
99	0	CacheHits	0
99	0	CacheMisses	147
99	1	CacheHits	0
99	1	CacheMisses	108
99	2	CacheHits	0
99	2	CacheMisses	107
99	3	CacheHits	0
99	3	CacheMisses	108
99	4	CacheHits	0
99	4	CacheMisses	107
100	0	CacheHits	0
100	0	CacheMisses	146
100	1	CacheHits	0
100	1	CacheMisses	98
100	2	CacheHits	0
100	2	CacheMisses	100
100	3	CacheHits	0
100	3	CacheMisses	98
100	4	CacheHits	0
